customer_id,age,income,province,employment_type
C01434,68,,Ontario,part-time
C01841,74,64184.38,Quebec,Unemployed
C01252,37,66364.34, Ontario ,Contract
C01698,62,"$102,154.31", Quebec ,Full-time
C01147,43,30056 CAD,Ontario,Self-employed
C01285,70,55571.04,Quebec,Full-time
C01596,41,52157.72,Alberta,Full-time
C01381,63,106555.7,British Columbia,Full-time
C01124,35,55066.7,Ontario,Full-time
C01357,71,"72,343",Quebec,Self Employed
C01607,57,25010.64,Alberta,Part-time
C01538,59,142341.77,ONTARIO,contract
C01238,51,68405 CAD,Ontario,Part-time
C-01264,45,66731.55,Ontario,Full-time
C01117,38,65274.47,Ontario,Self-employed
1706,25,56753 CAD,Ont.,Full-time
C01390,70,66250.59,Ontario,Full-time
C01502,29,55311.47,Ontario,Full-time
01294,60,"78,565",ontario,Full-time
C01495,32,140172.04,Ontario,No job
C01526,63,81039.7,Ontario,Full-time
C01728,52,100499.8,Quebec,FT
C01017,55,92660 CAD,Quebec,Full-time
 C01647 ,36,"$69,250.14",Ontario,Contract
C01761,75,25849.15,British Columbia,Unemployed
C01767,21,54965 USD,QC,Contract
C-01640,23,46175 CAD,Ontario,Contract
C01478,150,48497.9,Ontario,Part-time
C01057,22,48600.69,Ontario,Full-time
C01593,50,42000.71,QC,Full-time
C01828,55,50082 USD,ALBERTA,Full Time
C01615,43,34202.31,Alberta,Self-employed
C01102,72,195000.49,Ontario,Part-time
C01237,71,66662.9,Québec,Full-time
C01207,24,60448.6,Ontario,Full-time
01458,31,47082.24,British Columbia ,Full-time
C01681,32,85736.31,Ontario,Full-time
C01738,54,n/a,quebec,Full-time
C01160,33,57254.67,Ontario,Part-time
C01149,66,30937 USD,Alberta,Full-time
C01261,71,"$188,324.25",Ontario,Contract
C01269,45,127155.15,Ontario,Contract
C01022,50,60968.13,Ontario,Unemployed
C01135,24,48639 CAD,British Columbia,Part-time
C01053,43,"$60,450.36",Ontario,Self-employed
C01678,38,59527.67,Ont.,Contract
 C01491 ,52,45699.2,Quebec,Full-time
C01730,121,204172.12,Ontario,Full-time
C01007,57,48737 USD,MANITOBA,Self-employed
C01830,,34667.12,Ontario,Part-time
C01446,57,35963.65,Quebec,Part-time
C01263,70,91541.54,QUEBEC,Full-time
C01306,61,34995 USD,Ontario,Full-time
C01619,38,30698 USD,British Columbia,Full-time
C01823,68,unknown,Manitoba,Part-time
C01544,44,"64,789",Quebec,Contractor
C01431,48,51235.48,ontario,Full-time
C01333,63,"77,347",Alberta,Contract
C01552,43, 64206 ,MB,self-employed
01234,73,91532.55,Quebec,Self-employed
C01280,60,70502.56,British Columbia,Full-time
C01443,28,127190.55,ON,Contract
C01293,71,107952.91,Quebec,Full-time
C01042,39,48107.93,Quebec,Contract
C01310,63,80770.65,Manitoba,Contract
C01439,53,29963.1,Ont.,Unemployed
C01585,24,unknown,Quebec,SELF
C01506,54,n/a,Ontario,Full Time
C01075,48, 147564 ,Ontario,Full-time
C01299,39,66071.79,Quebec,Full-time
C01318,58,"106,220",Ontario,Contract
C01505,49,77029.52,British Columbia,Unemployed
C01349,31,"$79,457.76",Alberta,Part-time
C01006,27,52853 USD,QUEBEC,Full-time
C01511,30,61942.57,Alberta,Full-time
C01744,39, 97152 ,ON,Full-time
C01701,21,"$60,833.37",British Columbia,Contract
C01694,150, 181743 ,British Columbia,Full-time
C01442,70, 34511 ,Alberta,Contract
C01001,48,95689.2,ON,CONTRACT
C01800,59,79759 CAD,Ontario,Full-time
C01686,37,61467.06,Quebec,Part-time
C01052,22,135316.3,Quebec,Part-time
1228,25,84507.43,Alberta,Full-time
C01430,65,71935.39,Ontario,Full-time
C01122,60,"$46,508.44",Ontario,Self-employed
C01635,43,63357.03,Ontario,Full-time
C01743,64,95429 CAD,Alberta,Full-time
C01675,21,56409.14,BC,Self-employed
1483,50,"49,520",British Columbia,Full-time
C01180,36,109333.91,Quebec,Part-time
C01653,45,45709.11,Ontario,Full-time
C01104,31,unknown,Quebec,FT
C01173,25,unknown,Ontario,Full-time
C01373,23,"$28,843.06",ontario,Full-time
C01058,0,"$78,322.39",QUEBEC,Full-time
C01654,58,78442.28,Ontario,Full-time
C01441,32,82798 CAD,Manitoba,Unemployed
C01089,0,"$54,276.94",Alberta,PT
1276,32,38577.04,Ontario,Full-time
01833,68,"180,673",AB,Full-time
01601,29,64939.4,Ontario,Full-time
