loan_id,customer_id,loan_amount,interest_rate,loan_status,default,approval_date
L000781,C01314,93424.11,9.14,Active,N,2024-01-08
L000672,C01698,38992 USD,10.3,Charged Off,1,2022-10-18
L000873,C01370,61262.89,11.05,Closed,0,2023-05-14
L000021,C01174,230091 USD,5.55,Current,N,2022-09-04
L000363,C01596,45868.84,5.61,Active,No,2023-05-13
L000016,C01579,15932 USD,3.19,Open,No,2022-08-08
L000949,cust_01712,72405.36,13.75,Charged Off,1,2023-07-20
L000208,C01816,"$10,327.36",14.83,Active,0,2023-10-02
L000257,C01179,12291.64,6.68,Active,0,2024-02-01
L001123,C01199,"$100,902.89",6.51,Closed,0,2024-03-28
L000759,C01837,30527.07,11.3,ACTIVE,0,2023-03-26
L000384,C01430,107962 CAD,2.98,Active,0,2023-10-26
L000746,C01544,95313.16,13.48,Active,0,2023-09-11
L000697,01102,166699.31,5.15,Closed,0,2024-02-01
L001079,C01432,62167.14,nan,Active,0,2022-09-30
L000668,C01270,15408.81,12.41,Active,FALSE,2022-06-22
L000561,C01648,6762.79,9.3,Active,N,2022-02-28
L000665,C01227,56344 USD,7.05,closed,0,2022-07-22
L000129,C01684,43105.87,8.45,Closed,0,2024-04-18
L000475,C01074,"83,354",7.54,Active,0,2024-01-01
L001093,C01402,51166.88,12.49,Charged Off,0,2023-06-12
L001060,C01060,"$15,139.22",5.84,Charged Off,0,2022-05-08
L000267,C01417,73471.55,10.99,Active,0,2023-08-10
L000150,C01115,56063.98,8.78,Closed,0,2022-08-25
L001073,C01544,"$30,942.40",8.42,Active,0,2023-04-29
L001115,C01625,88861 CAD,10.4,Charged Off,1,2022-12-01
L000308,C01033,183723.4,8.47,Active,0,2022-12-18
L001235,1119,"48,731",8.28,Active,0,2024-05-18
L001198,C01104,66907.28,7.85,Active,0,2022-05-05
L000911,C01565,"53,161",2.20%,CLOSED,0,2023-04-07
L001212,C01654,65035.97,8.78,Closed,0,2023-08-09
L000445,C01584,"13,936",12.57,Charged Off,1,2022-12-20
L000611,C01069,166216.01,9.03,Active,0,2024-04-07
L000511,C01581,40966.57,2.99,Active,0,2023-06-17
L000849,C01626,19578.85,6.47,Active,FALSE,2022-07-21
L001108,C01552,64799 CAD,10.8,Active,0,2022-09-19
L000559,C01716,"$38,005.07",12.26,Active,0,2022-09-22
L000783,C01394,153453.31,6.56,Active,No,2024-01-10
L000374,C01111,-78203.51,14.03,Active,1,2022-12-01
L001043,C01477,10726.16,6.82,Closed,Y,2023-01-16
L000537,C01059,18051.12,5.6,Active,0,2023-04-17
L000027,C01325,14578.03,2.93,Active,N,2023-11-22
L000399,C01511,"$73,167.15",11.87,Active,0,2023-10-27
L000507,C01806,21065.03,9.73,Active,0,2024-01-14
L000677,C01677,30303 USD,7.79,closed,0,2022-12-29
L000693,C01448,54406.39,11.53,Closed,FALSE,2023-09-27
L000406,C01339,38065.15,6.31,Closed,0,2023-02-26
L000067,C01418,"$108,954.65",11.03,Active,1,2024-02-02
L000647,C01322,6004.29,13.17,ACTIVE,0,2023-05-06
L000266,C01414,"25,496",-1,Closed,0,2024-02-04
L000161,C01686,36346.2,11.85,Closed,0,2023-02-21
L001181,C01806,54920.02,7.28,Active,0,2023-01-08
L000584,C01300,81476 USD,-3,Active,0,2023-04-09
L001141,1249,123029 CAD,7.68,Active,0,2022-10-21
L000021,C01174,230091 USD,5.55,Current,N,2022-09-04
L001002,C01489,116744.37,12.18,Active,1,2023-12-26
L000418,C01020,"$43,257.32",11.88,Active,1,2023-07-11
L000080,C01315,77959.64,6.45,ACTIVE,Good,2022-05-02
