payment_id,loan_id,payment_amount,payment_date
PMT0002714,L000672,4704.1,2024-08-31
PMT0003944,L000984,3900.24,2023-05-19
PMT0003393,L000849,1613.51,2023-08-20
PMT0002802,L000697,20880.65,2025-12-04
PMT0001546,L000384,9551.15,2024-12-17
PMT0003942,L000983,"$19,379.95",2023-12-10
PMT0003512,L000876,-7954.68,2022-12-19
PMT0000735,L000186,17808.0,2024-03-13
PMT0001840,L000460,1336.92,2024-12-28
PMT0002399,L000600,1195.96,2024-08-19
PMT0000372,L000092,15086.94,2023-11-14
PMT0000504,L000123,2098.86,2025-09-28
PMT0001746,L000438,5198.63,2023-09-15
PMT0003144,L000789,13046.42,11/01/2023
PMT0002914,L000726,6091.06,2023-10-25
PMT0001912,L000475,13643.43,2025-04-29
PMT0004306,L001072,12457.15,2024-08-06
PMT0004338,L001081,2076.31,2024-01-22
PMT0002120,L000528,2993.61,2025-01-26
PMT0002962,L000737,2722.91,2024-11-11
PMT0001506,L000374,10016.08,2023-09-03
PMT0001390,L000345,5383.4,2023-07-18
PMT0000068,L000016,1367.13,2023-07-22
PMT0001996,L000495,9013.07,2025-10-02
PMT0000584,L000140,6827.0,2024-08-18
PMT0001794,L000448,26744.65,2023-01-11
PMT0004098,L001018,7251.95,2025-06-29
PMT0002996,L000745,1864.4,2024-05-03
PMT0003734,L000929,8711.34,2023-01-25
PMT0003154,L000790,28293.12,2024-02-19
PMT0002498,L000624,10449.28,2026-01-24
PMT0002566,L000640,6256.38,2024-08-19
PMT0004086,L001016,38215.86,2025-01-29
PMT0003157,L000791,7686.32,2023-10-31
PMT0003065,L000771,-47501.02,2023-10-04
PMT0000097,L000024,4178.64,2022-02-21
PMT0003778,L000938,20685.85,2023-09-30
PMT0003790,L000940,5288.92,2024-06-29
PMT0002754,L000684,"$5,169.47",2026-04-06
PMT0004779,L001197,10595.67,2024-02-21
PMT0004414,L001100,74933.54,2024-11-22
PMT0004157,L001032,15359.72,2025-01-14
PMT0003972,L000990,15544.0,2025-05-08
PMT0001383,L000343,5900.55,2023-05-05
PMT0001296,L000324,14358.09,2024-03-29
PMT0001582, L000396 ,6947.04,2023-11-20
PMT0001532,L000380,2148.95,2023-05-04
PMT0001236,L000312,34343.2,2025-07-26
PMT0003966, L000989 ,17488.72,2023-12-27
